,28/08/19,29/08/19,30/08/19,31/08/19,01/09/19,02/09/19,03/09/19,04/09/19,05/09/19,06/09/19,07/09/19,08/09/19,09/09/19,10/09/19,11/09/19,12/09/19
hanood.1,1.4508401425585067,1.8751836815273382,0.0,0.7254200712792533,0.0,1.4508401425585067,1.149763610248085,0.7254200712792533,0.7254200712792533,,0.7254200712792533,,0.0,1.149763610248085,0.0,0.0
ibrahimo.1,3.0815318795913473,4.249496991037955,3.409793315377745,3.593873440612261,3.9116952891925285,5.381059100087517,4.400462852928186,3.7208848517636812,3.281482636598997,3.0815318795913473,1.4508401425585067,3.4492908307442547,1.4508401425585067,2.7619316789444435,2.834136854346576,5.171724994322188
mjomba.1,2.4097933153777453,2.4097933153777453,,2.29952722049617,0.0,2.4097933153777453,0.7254200712792533,2.17626021383776,,1.4508401425585067,2.29952722049617,0.7254200712792533,0.7254200712792533,2.03651160766519,1.8751836815273382,0.0
m_3rimi,3.8069519508706007,2.9651275856511212,2.4097933153777453,,5.625551044582015,4.47578743433393,4.319293511891515,4.57288907967142,4.697627007077088,2.4097933153777453,3.024947291775423,3.7503673630546763,4.00690270787825,7.250104582556204,5.179173850959023,4.974917062317209
alnoufali_7,0.0,1.4508401425585067,5.001639193316311,5.534488423152994,4.302275902153399,5.027695973432652,3.524076919758702,4.431246246847082,4.319293511891515,4.135213386656998,4.193914375476063,5.236929742690604,4.231295489839432,3.487351750223697,3.3687464881969826,4.57288907967142
salahzadjali,0.0,1.149763610248085,0.0,0.0,1.4508401425585067,1.149763610248085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.149763610248085,0.0
ramoos.2,2.6006037528065917,2.7619316789444435,1.4508401425585067,2.29952722049617,1.149763610248085,1.149763610248085,1.6843732440984913,2.03651160766519,3.281482636598997,1.6843732440984913,2.4097933153777453,4.400462852928186,4.776863966644352,0.0,4.135213386656998,4.00690270787825
malizy.99,1.6843732440984913,1.6843732440984913,2.6006037528065917,1.4508401425585067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muntherr_93,0.0,2.6843732440984915,1.8751836815273382,0.0,1.149763610248085,3.024947291775423,2.17626021383776,0.7254200712792533,1.6843732440984913,2.03651160766519,0.0,1.4508401425585067,,0.0,2.9016802851170134,1.8751836815273382
hmaky128,1.4508401425585067,0.0,0.0,1.8751836815273382,0.0,0.0,2.17626021383776,0.7254200712792533,1.149763610248085,0.0,0.0,1.149763610248085,0.0,0.7254200712792533,,1.149763610248085
mohamed_almukhaini,5.26465480614729,5.149054939563653,4.231295489839432,4.850521689038016,4.135213386656998,4.661741436415349,5.368746488196983,4.850521689038016,6.423499253753048,5.156666318126336,4.15514846443113,5.141387799488881,4.336038828161359,3.8606334579362516,4.504462103099753,3.9116952891925285
hazzamashen,1.6843732440984913,4.798443286609634,3.0815318795913473,3.0815318795913473,3.281482636598997,2.17626021383776,1.4508401425585067,1.6843732440984913,0.0,1.4508401425585067,2.7619316789444435,2.03651160766519,,2.4097933153777453,1.149763610248085,0.0
hala_al_balushi,4.319293511891515,3.409793315377745,3.659304741625656,2.7619316789444435,2.7619316789444435,3.234961202656825,3.9603812739360778,3.7503673630546763,3.487351750223697,3.8606334579362516,4.586053529215505,4.754830311990191,4.212771821502951,4.07302321533038,3.9603812739360778,3.234961202656825
marvatnaserofficial,3.4492908307442547,2.834136854346576,2.7619316789444435,3.7208848517636812,2.6843732440984915,3.524076919758702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
najl.94,0.0,4.302275902153399,4.431246246847082,3.7503673630546763,3.3687464881969826,3.4492908307442547,3.3687464881969826,4.860633457936252,4.15514846443113,3.6905476569303746,0.0,3.524076919758702,3.234961202656825,2.5095411313775715,3.234961202656825,2.17626021383776
fadwasalam,4.504462103099753,4.336038828161359,4.249496991037955,3.55955692562583,3.779042031820499,3.409793315377745,3.024947291775423,3.186275217913275,2.6006037528065917,0.7254200712792533,3.0815318795913473,2.6006037528065917,2.03651160766519,3.186275217913275,2.29952722049617,2.9016802851170134
thenaeema,,4.8903954618018535,3.659304741625656,3.409793315377745,5.208450163857193,4.446304923042935,4.57288907967142,3.593873440612261,3.4492908307442547,3.409793315377745,5.284976996905083,4.46114999378047,3.9116952891925285,6.020412072259852,3.779042031820499,3.409793315377745
tajn00r,1.6843732440984913,4.00690270787825,3.326023824085845,3.234961202656825,4.55955692562583,5.208450163857193,3.4492908307442547,4.193914375476063,3.024947291775423,0.0,3.3687464881969826,3.0815318795913473,2.834136854346576,1.8751836815273382,0.0,3.409793315377745
hoori1992,2.6006037528065917,3.834136854346576,2.29952722049617,,0.7254200712792533,2.29952722049617,4.284976996905083,3.326023824085845,3.409793315377745,3.4492908307442547,3.1352133866569982,2.9651275856511212,2.834136854346576,2.9016802851170134,2.03651160766519,3.1352133866569982
wani_daily,2.834136854346576,2.6843732440984915,4.611895828351611,4.649500829749613,3.9116952891925285,2.17626021383776,2.03651160766519,4.637115360471782,3.4492908307442547,2.7619316789444435,1.6843732440984913,4.1747109020235085,3.487351750223697,,2.03651160766519,2.6843732440984915
amal.almaqbali,0.7254200712792533,0.0,0.0,0.0,0.0,0.7254200712792533,3.234961202656825,2.17626021383776,0.0,0.0,2.29952722049617,2.4097933153777453,0.0,4.709320535873915,2.6843732440984915,1.4508401425585067
oman_events,5.110144884184162,4.59905444099234,4.532372022149854,4.673840530006787,4.319293511891515,4.212771821502951,4.00690270787825,5.133664074842747,4.611895828351611,4.249496991037955,4.094166559476236,4.00690270787825,3.8606334579362516,4.909776755310803,4.490222972708815,3.186275217913275
oman.news,0.0,0.0,4.00690270787825,4.787709244416246,4.754830311990191,5.236929742690604,3.7208848517636812,4.637115360471782,3.524076919758702,3.9363213651360964,5.73581713946359,3.3687464881969826,3.024947291775423,3.7503673630546763,5.102186215112438,4.302275902153399
news.oman,5.570849001170849,7.281438026812097,5.337315899630864,4.956715561118686,7.153430366238091,6.24928342916814,6.316493082248172,6.205670454548699,6.45027836778833,6.301361831596523,5.831593186220566,5.337315899630864,6.023729222229926,7.056828749548143,8.15343036623809,6.965317249733774
insta__oman,7.162394531872629,7.339541379787722,6.461237210742843,6.813375574309542,6.013746062848214,4.983900464594662,6.5669145606746415,6.6206946092345875,6.5470173845732855,8.179082629370999,6.888483830461948,6.678952984412293,0.0,7.212499581158203,7.093213408281578,7.378375797546437
be4_and_after_om,3.593873440612261,6.188835347198244,5.019082262755143,4.983900464594662,6.257262323769911,4.720884851763682,4.1747109020235085,4.809068351873741,5.480250383269445,5.405258095862173,4.267387340178471,3.1352133866569982,4.697627007077088,3.8069519508706007,2.7619316789444435,6.355805119556705
alialhabsi,1.6843732440984913,2.5095411313775715,4.919334446755316,6.230425983141253,4.319293511891515,4.765905123689839,4.051443895365098,2.5095411313775715,3.1352133866569982,4.384724812904909,4.919334446755316,3.234961202656825,3.8606334579362516,5.086084975384181,3.024947291775423,3.234961202656825
shihabalhabsi_,0.0,0.0,0.0,1.8751836815273382,0.7254200712792533,0.0,2.4097933153777453,0.0,0.0,0.0,0.0,0.0,1.149763610248085,0.7254200712792533,0.0,0.7254200712792533
