,28/08/19,29/08/19,30/08/19,31/08/19,01/09/19,02/09/19,03/09/19,04/09/19,05/09/19,06/09/19,07/09/19,08/09/19,09/09/19,10/09/19,11/09/19,12/09/19
hanood.1,52.85581829615251,55.03544157790721,53.02827268002529,53.05553997964658,53.05667797962867,53.08450569274967,55.23804699929436,55.25370563672616,55.26232261008609,55.30911797788343,55.11454520386846,54.72146072150687,54.72599999999999,54.76956284742796,54.791165133416854,54.83014250547089
ibrahimo.1,41.7925317465382,45.04939198245255,41.979993780223914,42.02433180035877,42.06552779298775,42.14044189565809,45.37557566429802,45.41631991761975,45.44059434801416,45.500860087935585,45.354223316758656,45.051547123989366,45.0594,45.109932119729834,45.13581883335653,45.16440596758577
mjomba.1,16.508954398769795,22.150413308506074,16.56621302177677,16.5749919021851,16.581287711905187,16.59143726261699,22.238749379854614,22.248117598198128,22.25070871274161,22.268145428206928,22.189392830664698,22.031915617190872,22.0541,22.08098579547036,22.088580180452524,22.100778379554104
m_3rimi,48.679375213232056,51.2849485375569,48.90625782196753,48.964796552362635,48.99921192813917,49.06634994935434,51.630982011432145,51.679507045974646,51.714680353309376,51.7919556242864,51.648718476509565,51.317916793246816,51.350899999999996,51.445346568968596,51.505422772419,51.56424449356091
alnoufali_7,56.04460334405771,57.95183045347828,56.2963002463087,56.37246173187709,56.43711725773327,56.529629321170475,58.387330298818625,58.44519265259828,58.487571410893906,58.56720725314515,58.39646968730602,58.032584449058334,58.059599999999996,58.13971113081863,58.16848950551235,58.214782241541656
salahzadjali,28.757051451041562,33.22516604224375,28.83252511830371,28.833579663176167,28.82209273203516,28.823873109080672,33.2883803371802,33.20654699543775,32.988867416443576,32.8887253872811,32.72573180294606,32.401082053619454,32.381,32.40097665506751,32.383499213752046,32.392361896974755
ramoos.2,25.873585100197644,30.63085899012655,25.97091857920017,25.985647521519958,25.992038105102306,26.009800258855584,30.75506559776445,30.770576701871097,30.779527000405775,30.804406095590085,30.699884837579337,30.49876625570074,30.5063,30.542781884764004,30.563969836982817,30.588408789108605
malizy.99,52.844778650057165,55.01446036297504,52.990817097052734,52.99783882584202,52.97910548817595,52.99250307265134,55.14525751157207,55.14928380448886,55.1542515519391,55.22151263394029,55.00924227515734,54.60543536130992,54.59409999999999,54.63096627481391,54.6369270141803,54.65443278717223
muntherr_93,26.336692678318723,31.050886773672413,26.43100730735564,26.444013857653488,26.446854341011694,26.467242204715077,31.17150643590804,31.185231450987636,31.19452390750906,31.22048089886737,31.105678994440254,30.882550141110812,30.877799999999997,30.905334507565964,30.9158849747088,30.942030854653243
hmaky128,41.12758821455266,44.42328428493354,41.26129381799223,41.278913406441696,41.27862528603221,41.29810928029854,44.5778690879317,44.59590598689575,44.606455619510086,44.644027220500966,44.48398782168768,44.163252965447064,44.162299999999995,44.19449425238445,44.208688594233735,44.22528508004084
mohamed_almukhaini,22.629044263932094,27.742310572830853,22.823755147822244,22.89852396903437,22.975876564237495,23.072982722278162,28.152512515113656,28.209765205194024,28.25588076605273,28.32515462981823,28.283963578393745,28.13905048176424,28.189899999999998,28.25148533375753,28.305147075833812,28.353941841536358
