,28/08/19,29/08/19,30/08/19,31/08/19,01/09/19,02/09/19,03/09/19,04/09/19,05/09/19,06/09/19,07/09/19,08/09/19,09/09/19,10/09/19,11/09/19,12/09/19
hanood.1,4.586053529215505,4.754830311990191,4.504462103099753,4.212771821502951,4.743637050860347,4.909776755310803,1.4508401425585067,5.709320535873915,5.423047078356342,5.171724994322188,4.231295489839432,5.193914375476062,4.249496991037955,4.46114999378047,3.9603812739360778,4.649500829749613
ibrahimo.1,6.584504217401253,8.009344580466477,7.4629130476732195,6.762313743053265,7.490183819211222,8.603426168339832,7.909348381900065,6.727397464611238,6.171724994322188,6.501864659060291,5.757396459428872,5.870648462011767,5.387161507694603,5.4171509504265565,5.922987364737548,8.065432344186009
mjomba.1,5.077940498954773,5.4171509504265565,4.787709244416246,5.298309150950673,5.428910174583838,5.053119732295475,4.94749470905249,4.776863966644352,3.9116952891925285,4.974917062317209,5.686715770733879,5.215643043988069,6.273039908103309,5.560588527423891,4.094166559476236,5.4690571221396
m_3rimi,6.757396459428872,6.788156042189371,6.416696023255996,7.806645262115212,8.817807935939904,7.638260263118649,7.034374874073482,6.962619928809245,8.36827284107954,7.388312997222838,6.646582570795248,6.452479335874818,6.850100743844547,10.030415914433105,8.18077062963919,7.355434064796784
alnoufali_7,0.0,6.2439301697243215,8.197917449765487,9.231081544221983,8.144301436610144,8.789910417256394,7.535676239585184,7.497499607800975,7.174596216807307,7.319570070688548,7.906612275924908,9.179764649557661,7.5127781264384295,7.086036969148564,6.803989323595923,8.663605584238754
salahzadjali,4.114891195899205,3.3687464881969826,3.6905476569303746,2.03651160766519,3.7503673630546763,2.6843732440984915,2.03651160766519,3.0815318795913473,4.267387340178471,1.4508401425585067,3.4492908307442547,0.0,3.024947291775423,3.55955692562583,3.8069519508706007,4.1747109020235085
ramoos.2,5.969350241003575,5.926627576892437,5.704838473608425,5.654225713347837,5.770133654450022,5.615815533081107,4.743637050860347,6.742504446174592,7.127222269869924,6.259908494432247,5.73581713946359,7.7297358567098415,7.637551931491342,0.0,7.50958007982645,7.864688381909326
malizy.99,5.1865700650597235,4.249496991037955,3.7208848517636812,4.249496991037955,4.302275902153399,4.6858013452153315,3.1352133866569982,2.834136854346576,3.6905476569303746,6.624432327276777,4.956715561118686,4.249496991037955,3.186275217913275,3.55955692562583,3.186275217913275,4.051443895365098
muntherr_93,2.17626021383776,6.013746062848214,4.35252042767552,4.611895828351611,4.1747109020235085,5.2012075056131835,4.992807411457726,4.900130973302762,4.649500829749613,4.55955692562583,2.6006037528065917,4.765905123689839,3.6905476569303746,3.524076919758702,3.593873440612261,4.649500829749613
hmaky128,5.149054939563653,4.965855880697489,5.271472810322015,6.033618051136273,0.0,5.010397068184337,6.027035891455932,5.257792093429108,3.9116952891925285,0.0,4.732322779157505,4.611895828351611,3.0815318795913473,3.0815318795913473,3.4492908307442547,3.234961202656825
