,28/08/19,29/08/19,30/08/19,31/08/19,01/09/19,02/09/19,03/09/19,04/09/19,05/09/19,06/09/19,07/09/19,08/09/19,09/09/19,10/09/19,11/09/19,12/09/19
hanood.1,5.78235398683015,5.78235398683015,5.78235398683015,5.78235398683015,5.78235398683015,5.78235398683015,5.78235398683015,5.78235398683015,5.78235398683015,5.78235398683015,5.78235398683015,5.78235398683015,5.78235398683015,5.78235398683015,5.78235398683015,5.78235398683015
ibrahimo.1,6.35824406459303,6.35824406459303,6.35824406459303,6.35824406459303,6.361458666822753,6.361458666822753,6.361458666822753,6.361458666822753,6.361458666822753,6.361458666822753,6.361458666822753,6.361458666822753,6.361458666822753,6.361458666822753,6.364663828210015,6.364663828210015
mjomba.1,5.4238388828957,5.416233579170931,5.416233579170931,5.416233579170931,5.416233579170931,5.416233579170931,5.416233579170931,5.416233579170931,5.416233579170931,5.416233579170931,5.416233579170931,5.416233579170931,5.416233579170931,5.416233579170931,5.416233579170931,5.416233579170931
m_3rimi,5.6428421844479315,5.6428421844479315,5.6428421844479315,5.649025524886276,5.649025524886276,5.649025524886276,5.649025524886276,5.655174029419038,5.655174029419038,5.655174029419038,5.655174029419038,5.655174029419038,5.661288088367567,5.661288088367567,5.661288088367567,5.661288088367567
alnoufali_7,5.649025524886276,5.649025524886276,5.6366236111104255,5.6366236111104255,5.6428421844479315,5.6428421844479315,5.6428421844479315,5.6428421844479315,5.6428421844479315,5.6428421844479315,5.6428421844479315,5.6428421844479315,5.6428421844479315,5.649025524886276,5.649025524886276,5.649025524886276
salahzadjali,7.565773231595474,7.565773231595474,7.565773231595474,7.565773231595474,7.565773231595474,7.565773231595474,7.565773231595474,7.565773231595474,7.565773231595474,7.565773231595474,7.565773231595474,7.565773231595474,7.565773231595474,7.565773231595474,7.565773231595474,7.565773231595474
ramoos.2,6.345290124165076,6.345290124165076,6.345290124165076,6.345290124165076,6.345290124165076,6.345290124165076,6.345290124165076,6.35178631398806,6.35178631398806,6.35178631398806,6.35178631398806,6.355019965740269,6.355019965740269,6.35178631398806,6.355019965740269,6.355019965740269
malizy.99,5.251809483579204,5.251809483579204,5.251809483579204,5.251809483579204,5.251809483579204,5.251809483579204,5.251809483579204,5.251809483579204,5.251809483579204,5.251809483579204,5.251809483579204,5.251809483579204,5.251809483579204,5.251809483579204,5.251809483579204,5.251809483579204
muntherr_93,5.197230277618699,5.197230277618699,5.197230277618699,5.197230277618699,5.197230277618699,5.197230277618699,5.197230277618699,5.197230277618699,5.197230277618699,5.197230277618699,5.197230277618699,5.197230277618699,5.197230277618699,5.197230277618699,5.197230277618699,5.197230277618699
hmaky128,6.563108134622861,6.563108134622861,6.565773231595474,6.565773231595474,6.563108134622861,6.565773231595474,6.565773231595474,6.565773231595474,6.565773231595474,6.563108134622861,6.563108134622861,6.5604365135385425,6.5604365135385425,6.5604365135385425,6.5604365135385425,6.5604365135385425
