,28/08/19,29/08/19,30/08/19,31/08/19,01/09/19,02/09/19,03/09/19,04/09/19,05/09/19,06/09/19,07/09/19,08/09/19,09/09/19,10/09/19,11/09/19,12/09/19
hanood.1,7.245992357464252,7.409672104680333,7.171282567792921,7.059294145127358,6.989285318777706,7.2071681384546595,6.655675242581496,7.880537077591337,7.853795575358869,7.611000820990928,7.140977910693435,7.161278201164762,6.834954894274824,6.951760584276963,6.884126183891153,6.788156042189371
ibrahimo.1,9.283827514726848,10.404331141739803,10.12311554284769,9.627491491748534,9.900547978065601,10.820955185347925,10.444168189451226,9.668990037173785,9.311385424627588,9.505744696967081,8.71698134587832,8.835099319582797,7.9662493203960025,8.067783636883412,8.50116946009037,8.36650887649643
mjomba.1,8.00984116882189,8.124911982089806,7.572509129766612,8.007853400058327,8.052166581100815,7.758533269564735,7.866397981972688,7.396373832498203,7.169067625295485,7.518351300183721,8.315129215626111,7.812056960157284,8.488048238231352,8.311414053970354,7.578523858617299,8.242977018529661
m_3rimi,9.19507375219985,9.438478631823475,9.012739594819724,9.273934034920487,8.598345770307906,8.289222014410493,8.30169245551212,8.157749645746598,9.920253832664507,8.96799968713112,8.112833575589482,7.985226913539171,8.308805571375268,12.718593367431541,10.354339303358039,9.873877854270397
alnoufali_7,0.0,8.952785464452813,10.285205845912609,11.12927250918538,10.371373959156799,11.234848339502593,10.325516369505618,10.210150007977,10.15319472145735,10.21866677511559,10.352699880191429,11.511422465018901,9.927985793201438,10.03522967474356,9.801338100879672,10.862903436172047
salahzadjali,5.337315899630864,4.919334446755316,5.044713583170768,4.661741436415349,4.743637050860347,4.819586630755491,4.661741436415349,4.870648462011766,4.673840530006787,4.611895828351611,4.880568535710383,4.743637050860347,4.661741436415349,4.709320535873915,5.141387799488881,4.909776755310803
ramoos.2,8.838478592584678,8.815051411239917,8.543159182513845,8.46420032943379,8.4137976169083,8.183297536153061,7.881659996088976,8.959017998120105,9.116530389215516,8.594945085140589,8.279291079154405,9.668684843507643,9.867418363976807,0.0,10.215473561343996,10.28841866203727
malizy.99,6.017084374895338,5.908298563060263,5.73581713946359,6.3064299283744205,5.897145065601442,6.200088788307946,5.744502334034396,5.727059264595565,5.9193344467553155,8.432196939027158,7.030585274497469,6.07226465530244,5.4171509504265565,5.6399865829569,5.2439301697243215,5.770133654450022
muntherr_93,6.053119732295475,8.479842358307005,7.3892117177069165,6.734138614742279,6.452479335874818,7.577773905206922,7.494254458101948,7.347985208159948,7.467090937211133,7.803626627373475,7.031849999653674,7.1910088888712895,6.68952438681576,6.943541484917724,6.703455506853635,6.891378880549821
hmaky128,7.6805863205836875,7.4770503456565045,7.372915472432761,8.116875219511684,0.0,7.403487266439009,8.418175830602406,7.8363621915815385,7.2490780401105885,0.0,7.077601782925473,6.708632235987615,6.328937461207107,6.405258095862173,6.463415275918991,6.353390908706673
